IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.189.92,2082,false,SIN,Asia Pacific,Singapore,218 ms,8692 kB/s
8.219.107.135,80,false,SIN,Asia Pacific,Singapore,212 ms,8580 kB/s
8.210.9.129,2052,false,HKG,Asia Pacific,Hong Kong,65 ms,8578 kB/s
8.219.40.37,2095,false,SIN,Asia Pacific,Singapore,216 ms,8573 kB/s
47.76.159.146,80,false,HKG,Asia Pacific,Hong Kong,63 ms,8548 kB/s
47.238.40.58,8080,false,HKG,Asia Pacific,Hong Kong,70 ms,8540 kB/s
8.219.40.37,2086,false,SIN,Asia Pacific,Singapore,220 ms,8528 kB/s
47.76.204.76,8080,false,HKG,Asia Pacific,Hong Kong,53 ms,8493 kB/s
8.218.174.118,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,8491 kB/s
8.217.159.210,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,8486 kB/s
8.218.155.238,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,8481 kB/s
8.217.159.210,2095,false,HKG,Asia Pacific,Hong Kong,54 ms,8463 kB/s
8.219.49.65,8880,false,SIN,Asia Pacific,Singapore,213 ms,8462 kB/s
47.242.155.183,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,8434 kB/s
47.76.204.76,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,8388 kB/s
8.218.2.181,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,8359 kB/s
8.218.18.235,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,8356 kB/s
47.242.155.183,80,false,HKG,Asia Pacific,Hong Kong,61 ms,8322 kB/s
47.242.157.96,80,false,HKG,Asia Pacific,Hong Kong,61 ms,8308 kB/s
8.218.188.129,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,8230 kB/s
8.219.209.14,2095,false,SIN,Asia Pacific,Singapore,222 ms,8229 kB/s
8.219.147.58,2052,false,SIN,Asia Pacific,Singapore,221 ms,8228 kB/s
8.222.167.147,8080,false,SIN,Asia Pacific,Singapore,217 ms,8220 kB/s
8.210.9.129,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,8212 kB/s
8.210.174.156,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,8194 kB/s
47.76.33.40,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,8166 kB/s
8.217.248.220,2082,false,HKG,Asia Pacific,Hong Kong,54 ms,8154 kB/s
8.219.161.129,80,false,SIN,Asia Pacific,Singapore,240 ms,8145 kB/s
8.217.251.62,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,8139 kB/s
8.219.78.1,2082,false,SIN,Asia Pacific,Singapore,216 ms,8125 kB/s
8.218.122.55,8080,false,HKG,Asia Pacific,Hong Kong,55 ms,8124 kB/s
8.218.122.55,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,8108 kB/s
8.222.183.242,80,false,SIN,Asia Pacific,Singapore,218 ms,8085 kB/s
47.243.139.85,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,8075 kB/s
47.76.77.103,2095,false,HKG,Asia Pacific,Hong Kong,61 ms,8066 kB/s
8.217.232.246,80,false,HKG,Asia Pacific,Hong Kong,58 ms,8055 kB/s
47.242.17.250,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,8036 kB/s
8.219.6.150,2082,false,SIN,Asia Pacific,Singapore,225 ms,8022 kB/s
8.219.6.150,2086,false,SIN,Asia Pacific,Singapore,219 ms,8016 kB/s
8.218.52.115,2082,false,HKG,Asia Pacific,Hong Kong,61 ms,7999 kB/s
8.219.60.54,2095,false,SIN,Asia Pacific,Singapore,214 ms,7988 kB/s
47.236.165.25,8080,false,SIN,Asia Pacific,Singapore,233 ms,7985 kB/s
8.219.11.158,80,false,SIN,Asia Pacific,Singapore,225 ms,7977 kB/s
8.222.215.228,2052,false,SIN,Asia Pacific,Singapore,211 ms,7971 kB/s
8.210.34.188,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,7964 kB/s
47.74.155.26,80,false,SIN,Asia Pacific,Singapore,95 ms,7940 kB/s
47.245.86.230,2086,false,SIN,Asia Pacific,Singapore,222 ms,7885 kB/s
47.243.42.219,8880,false,HKG,Asia Pacific,Hong Kong,68 ms,7866 kB/s
8.222.144.50,2052,false,SIN,Asia Pacific,Singapore,220 ms,7854 kB/s
8.222.249.190,2052,false,SIN,Asia Pacific,Singapore,221 ms,7837 kB/s
8.218.155.238,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,7805 kB/s
47.243.42.219,2095,false,HKG,Asia Pacific,Hong Kong,66 ms,7799 kB/s
8.219.110.81,2052,false,SIN,Asia Pacific,Singapore,218 ms,7797 kB/s
47.76.178.146,2095,false,HKG,Asia Pacific,Hong Kong,56 ms,7780 kB/s
8.219.132.64,2086,false,SIN,Asia Pacific,Singapore,209 ms,7759 kB/s
8.222.150.197,8080,false,SIN,Asia Pacific,Singapore,236 ms,7737 kB/s
8.219.11.158,8880,false,SIN,Asia Pacific,Singapore,213 ms,7711 kB/s
47.242.155.183,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,7703 kB/s
8.217.193.25,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,7694 kB/s
8.219.50.180,8080,false,SIN,Asia Pacific,Singapore,210 ms,7690 kB/s
8.219.78.1,2086,false,SIN,Asia Pacific,Singapore,216 ms,7679 kB/s
47.243.42.219,8080,false,HKG,Asia Pacific,Hong Kong,66 ms,7676 kB/s
47.245.105.224,2086,false,SIN,Asia Pacific,Singapore,220 ms,7665 kB/s
8.218.222.36,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,7659 kB/s
8.219.200.145,2082,false,SIN,Asia Pacific,Singapore,209 ms,7652 kB/s
8.222.160.176,8080,false,SIN,Asia Pacific,Singapore,224 ms,7650 kB/s
8.222.191.138,2082,false,SIN,Asia Pacific,Singapore,213 ms,7624 kB/s
8.219.107.135,2052,false,SIN,Asia Pacific,Singapore,209 ms,7624 kB/s
8.219.86.200,8880,false,SIN,Asia Pacific,Singapore,222 ms,7621 kB/s
8.218.65.237,2086,false,HKG,Asia Pacific,Hong Kong,66 ms,7608 kB/s
47.236.10.100,2052,false,SIN,Asia Pacific,Singapore,210 ms,7607 kB/s
8.219.0.162,2082,false,SIN,Asia Pacific,Singapore,229 ms,7599 kB/s
8.219.120.87,2052,false,SIN,Asia Pacific,Singapore,218 ms,7596 kB/s
8.219.174.142,80,false,SIN,Asia Pacific,Singapore,240 ms,7582 kB/s
8.217.251.62,2082,false,HKG,Asia Pacific,Hong Kong,66 ms,7569 kB/s
8.217.85.14,2095,false,HKG,Asia Pacific,Hong Kong,63 ms,7534 kB/s
8.219.4.122,2082,false,SIN,Asia Pacific,Singapore,222 ms,7514 kB/s
8.217.159.210,8080,false,HKG,Asia Pacific,Hong Kong,54 ms,7506 kB/s
47.243.173.187,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,7505 kB/s
8.219.86.200,2082,false,SIN,Asia Pacific,Singapore,224 ms,7488 kB/s
8.222.146.222,8080,false,SIN,Asia Pacific,Singapore,215 ms,7473 kB/s
47.237.81.112,80,false,SIN,Asia Pacific,Singapore,228 ms,7473 kB/s
47.243.173.187,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,7468 kB/s
8.217.127.73,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,7466 kB/s
8.217.147.230,2095,false,HKG,Asia Pacific,Hong Kong,55 ms,7459 kB/s
47.242.174.27,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,7438 kB/s
47.236.180.24,8880,false,SIN,Asia Pacific,Singapore,221 ms,7430 kB/s
8.218.211.17,8880,false,HKG,Asia Pacific,Hong Kong,61 ms,7416 kB/s
8.222.150.197,8880,false,SIN,Asia Pacific,Singapore,242 ms,7410 kB/s
8.222.208.38,8880,false,SIN,Asia Pacific,Singapore,230 ms,7407 kB/s
8.218.204.128,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,7403 kB/s
8.219.220.88,80,false,SIN,Asia Pacific,Singapore,213 ms,7395 kB/s
8.218.85.128,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,7392 kB/s
47.243.206.150,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,7377 kB/s
8.219.49.65,2052,false,SIN,Asia Pacific,Singapore,217 ms,7366 kB/s
47.242.157.96,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,7360 kB/s
8.218.207.169,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,7360 kB/s
8.219.106.156,2086,false,SIN,Asia Pacific,Singapore,208 ms,7330 kB/s
47.242.234.127,8080,false,HKG,Asia Pacific,Hong Kong,54 ms,7330 kB/s
8.222.134.170,2086,false,SIN,Asia Pacific,Singapore,223 ms,7310 kB/s
8.222.191.138,8880,false,SIN,Asia Pacific,Singapore,219 ms,7302 kB/s
8.219.110.81,2086,false,SIN,Asia Pacific,Singapore,210 ms,7294 kB/s
8.219.120.87,8080,false,SIN,Asia Pacific,Singapore,228 ms,7291 kB/s
8.219.117.198,2052,false,SIN,Asia Pacific,Singapore,230 ms,7271 kB/s
8.222.165.117,2095,false,SIN,Asia Pacific,Singapore,220 ms,7247 kB/s
8.222.183.242,8080,false,SIN,Asia Pacific,Singapore,217 ms,7245 kB/s
47.236.189.92,2052,false,SIN,Asia Pacific,Singapore,207 ms,7244 kB/s
8.219.122.55,2082,false,SIN,Asia Pacific,Singapore,230 ms,7241 kB/s
8.217.239.116,2082,false,HKG,Asia Pacific,Hong Kong,59 ms,7236 kB/s
8.219.222.98,2086,false,SIN,Asia Pacific,Singapore,214 ms,7231 kB/s
8.222.244.192,2095,false,SIN,Asia Pacific,Singapore,228 ms,7218 kB/s
8.218.11.90,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,7205 kB/s
8.218.201.73,2086,false,HKG,Asia Pacific,Hong Kong,56 ms,7193 kB/s
8.222.146.222,80,false,SIN,Asia Pacific,Singapore,220 ms,7187 kB/s
8.219.113.232,2082,false,SIN,Asia Pacific,Singapore,211 ms,7186 kB/s
47.236.165.25,2052,false,SIN,Asia Pacific,Singapore,211 ms,7176 kB/s
47.243.183.127,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,7157 kB/s
8.222.187.4,2082,false,SIN,Asia Pacific,Singapore,222 ms,7150 kB/s
47.76.204.76,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,7143 kB/s
8.219.110.81,2095,false,SIN,Asia Pacific,Singapore,216 ms,7136 kB/s
8.222.156.242,8880,false,SIN,Asia Pacific,Singapore,248 ms,7129 kB/s
8.210.48.107,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,7114 kB/s
8.219.83.71,2095,false,SIN,Asia Pacific,Singapore,216 ms,7112 kB/s
8.219.11.158,2086,false,SIN,Asia Pacific,Singapore,214 ms,7108 kB/s
8.218.211.17,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,7105 kB/s
8.210.9.129,8880,false,HKG,Asia Pacific,Hong Kong,65 ms,7095 kB/s
8.219.78.1,2095,false,SIN,Asia Pacific,Singapore,265 ms,7091 kB/s
8.217.221.165,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,7086 kB/s
8.218.52.115,8080,false,HKG,Asia Pacific,Hong Kong,62 ms,7077 kB/s
8.219.202.130,8880,false,SIN,Asia Pacific,Singapore,241 ms,7058 kB/s
8.219.147.58,8080,false,SIN,Asia Pacific,Singapore,252 ms,7050 kB/s
47.242.157.96,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,7038 kB/s
8.222.187.4,80,false,SIN,Asia Pacific,Singapore,220 ms,7032 kB/s
8.222.179.231,8080,false,SIN,Asia Pacific,Singapore,221 ms,7029 kB/s
8.222.191.138,2086,false,SIN,Asia Pacific,Singapore,241 ms,7028 kB/s
8.219.83.71,2086,false,SIN,Asia Pacific,Singapore,235 ms,6998 kB/s
8.219.83.201,80,false,SIN,Asia Pacific,Singapore,233 ms,6994 kB/s
8.222.193.65,2052,false,SIN,Asia Pacific,Singapore,216 ms,6972 kB/s
8.219.42.72,2052,false,SIN,Asia Pacific,Singapore,221 ms,6954 kB/s
8.219.42.72,2086,false,SIN,Asia Pacific,Singapore,224 ms,6934 kB/s
47.236.104.11,2082,false,SIN,Asia Pacific,Singapore,240 ms,6931 kB/s
8.210.101.157,2082,false,HKG,Asia Pacific,Hong Kong,56 ms,6930 kB/s
8.217.193.25,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,6925 kB/s
8.210.107.246,2052,false,HKG,Asia Pacific,Hong Kong,66 ms,6918 kB/s
8.219.248.47,2052,false,SIN,Asia Pacific,Singapore,215 ms,6911 kB/s
8.217.145.40,2086,false,HKG,Asia Pacific,Hong Kong,63 ms,6909 kB/s
8.222.146.222,2052,false,SIN,Asia Pacific,Singapore,211 ms,6894 kB/s
8.219.106.156,2052,false,SIN,Asia Pacific,Singapore,207 ms,6886 kB/s
8.219.83.71,2082,false,SIN,Asia Pacific,Singapore,209 ms,6883 kB/s
8.222.208.38,2082,false,SIN,Asia Pacific,Singapore,233 ms,6879 kB/s
47.242.155.183,8880,false,HKG,Asia Pacific,Hong Kong,58 ms,6867 kB/s
8.219.113.232,2052,false,SIN,Asia Pacific,Singapore,215 ms,6867 kB/s
47.237.11.182,80,false,SIN,Asia Pacific,Singapore,210 ms,6862 kB/s
